position,singer,song,year
1,Miss Shirley Bassey and Propellerheads,History Repeating,1998
2,Ricky Martin,The Cup Of Life,1998
3,Мумий Тролль,Так надо,1998
4,Savage Garden,Truly Madly Deeply,1998
5,Блестящие,Облака,1998
6,Madonna,Frozen,1998
7,Андрей Губин,"Я знаю, ты знаешь",1998
8,Celine Dion,My heart will go on,1998
9,Машина Времени,Однажды Мир Прогнется под Нас,1998
10,La Cross,Save Me (Swanlake) (Radio Version),1998
11,Ace of Base,Life Is A Flower,1998
12,Дмитрий Маликов,Звезда моя далёкая,1998
13,Ardis,No Man's Land,1998
14,Маша и Медведи,Любочка,1998
15,Chris Rea,The Blue Cafe,1998
16,Aqua,Turn Back Time,1998
17,Леонид Агутин,Летний дождь,1998
18,Five,When The Lights Go Out,1998
19,2+2,Шум дождя,1998
20,Mariah Carey,My All,1998
21,Vacuum,I Breathe,1998
22,ДДТ,Просвистела,1998
23,Gala,Suddenly,1998
24,Dana International,Diva,1998
25,Мурат Насыров,Я - Это Ты,1998
26,DJ Sash feat. Tina Cousins,Mysterious Times,1998
27,Наталья Ветлицкая,Пчёлы,1998
28,Aerosmith,I Don`t Want to Miss a Thing,1998
29,Шура,Ты не верь слезам,1998
30,Des'ree,Life,1998
31,Агата Кристи,Ковёр-вертолёт,1998
32,E-Type,Angels Cryin',1998
33,Иванушки Int.,Тополиный Пух,1998
34,Scooter,How Much Is The Fish?,1998
35,Spice Girls,Viva Forever,1998
36,Унесенные Ветром,Какао-Какао,1998
37,Jennifer Paige,Crush,1998
38,Cher,Believe,1998
39,Руки Вверх!,Крошка моя,1998
40,Modern Talking,"You're My Heart, You're My Soul '98",1998
1,Britney Spears,...Baby One More Time,1999
2,The Cardigans,Erase/Rewind,1999
3,Ricky Martin,Livin' la Vida Loca,1999
4,Madonna,Nothing Really Matters,1999
5,Bryan Adams,Cloud number 9,1999
6,George Michael & Mary J.Blige,As,1999
7,Андрей Губин,О тебе мечтаю я,1999
8,Edyta Gorniak,One And One,1999
9,Enrique Iglesias,Bailamos,1999
10,The Blondie,Maria,1999
11,DJ Sash feat. Dr.Alban,Colour of the world,1999
12,Backstreet Boys,I Want It That Way,1999
13,A-Teens,Mamma Mia,1999
14,E-Type,Here I Go Again,1999
15,Eiffel 65,Blue (Da Ba Dee),1999
16,ATB,9PM (Till I Come),1999
17,Данко,Московская ночь,1999
18,Zoom,Words,1999
19,Cher,Strong Enough,1999
20,Lou Bega,Mambo No. 5 (A Little Bit Of..,1999
21,Jessica,How Will I Know Who You Are,1999
22,Линда,Я не могу,1999
23,Nek,Se Una Regola C'e' (Club Remix),1999
24,Roxette,Wish I Could Fly,1999
25,Emilia,Big Big World,1999
26,Cher,All Or Nothing,1999
27,Алсу,Иногда,1999
28,Ace of Base,Travel To Romantis,1999
29,N'Sync,You Drive Me Crazy,1999
30,Гости из будущего,Я с тобой,1999
31,Scooter,I Was Made For Lovin' You,1999
32,Tina Cousins,Killin' Time,1999
33,Touch & Go,Would You...?,1999
34,Britney Spears,Sometimes,1999
35,ИВАНУШКИ International,Снегири,1999
36,TLC,No Scrubs,1999
37,Shania Twain,That Don't Impress Me Much,1999
38,Boney M. vs. Sash!,Ma Baker (Original Edit) [1999],1999
39,Texas,Summer Son,1999
40,The Offspring,Why Don't You Get A Job,1999
1,Joe Cocker,My Father's Son,2000
2,Enrique Iglesias & Whitney Houston,Could I Have This Kiss Forever,2000
3,Валерия,Рига-Москва,2000
4,Shivaree,Goodnight Moon,2000
5,Sting feat Cheb Mami,Desert Rose,2000
6,DJ Mendez,Razor Tongue,2000
7,Оскар,Между мной и тобой,2000
8,Melanie C,I Turn To You,2000
9,N'SYNC,It's gonna be me,2000
10,Любэ,Солдат,2000
11,Bryan Adams,Inside Out,2000
12,Toni Braxton,Spanish Guitar,2000
13,Татьяна Буланова и DJ Цветкоff,Мой сон,2000
14,MOBY,Lift Me Up,2000
15,Земфира,Хочешь?,2000
16,Kind of Blue,Bitter Blue,2000
17,Elton John,Friends Never Say Goodbye,2000
18,Вячеслав Бутусов,Гибралтар/Лабрадор,2000
19,A-HA,Summer Moved On (Radio Edit),2000
20,Plazma,Take My Love,2000
